Item,Tipo de contrato,Modalidade de Contrato,Imagem logo órgão,Órgão vinculado(ATA)/Intermediaria,Nome da Conta,Estado,Link pasta do Cliente/Órgão,Objeto do contrato,Aceleradores,Plano GCP,Valor do contrato,Status do contrato,Número do contrato,Data de assinatura,Duração do contrato em quantidade de meses,Contrato com renovação,Contrato com reajuste?,Índice de reajuste,Cláusula sobre aditivo 25%,Complemento 25% em valor,Dias para o próximo reajuste,Vencimento do contrato,Dias para o vencimento,Link contrato,Custo operacional,Vlr. contrato (USD),Custo de implementação,Observações,Importar e resumir contrato?,Resumo do Contrato,Status,Tem atestado,Link do atestado gerado,Forma de pagamento,Detalhes adicionais,Duração máxima do contrato,Data de início do contrato/aditivo válida,Data de final do contrato/aditivo válida,Preposto do Contrato,E-mail do preposto do contrato,Status Atestados,suporte_contratado,detalhamento_servicos
cc451467,Privado,Contrato Privado,,,Associação Brasileira de Fantasy Sports,SP,https://drive.google.com/drive/folders/1NNxbGCf4BFC01CPSCxlaP7VIA280TUcD,"GCP, GWS",,,"R$ 2.520,00",Em execução,ABDF-121583-RenewGWS,17/01/2025,12,TRUE,N/A,NAO SE APLICA,,0,,17/01/2026,,ASSOCIAÇÃO BRASILEIRA DE FANTASY SPORTS (ABFS) - Contrato Nº ABDF-121583-RenewGWS - 17-01-2025,,"432,02",,,TRUE,"Contratante: ASSOCIAÇÃO BRASILEIRA DE FANTASY SPORTS (ABFS) 
Número do contrato: ABDF-121583-RenewGWS 
Objeto do contrato: Cessão de uso de Licenças online baseadas em usuário Google Workspace (GWS) , Serviços baseados em Consumo na Nuvem e/ou Reserva de Instância Google Cloud (GCP) , e Prestação de Serviços Recorrentes XERTICA.
Plataforma/tecnologia envolvida: Google Workspace (GWS), Google Cloud Platform (GCP) 
Quantitativos: NÃO ESPECIFICADO
Valor total: R$ 2.520,00 
Valor global do contrato: R$ 2.520,00 
Forma de pagamento: NÃO ESPECIFICADO
Valor convertido para forma de pagamento: NÃO MENCIONADO
Vigência: De 17/01/2025 a 17/01/2026 
Duração em meses: 12
Data de assinatura: 16 de dezembro de 2024 
Vencimento do Contrato: 17/01/2026 
Contrato com renovação: Sim, a CONTRATADA enviará uma notificação à CONTRATANTE para negociações.
Contrato com reajuste: Não se aplica para contratos de 12 meses.
Índice de reajuste: Não se aplica 
Complemento 25%: N/A
Local de execução: São Paulo - SP 
Informações relevantes adicionais: O processo de negociação está pautado nos princípios da ética, moralidade e boa-fé. O contrato inclui o Anexo 1 (Proposta Técnica Comercial) como parte integrante.
Estado: SP 
Aceleradores: NÃO MENCIONADOS
Preposto do Contrato: Rafael Marchetti Marcondes 
E-mail do Preposto: rafael.marcondes@reidopitaco.com 
Produtos:
GWS - Plano Committed Business Starte",Suporte Verificado ✓,,,ANUAL,"O contrato inclui um Anexo 1 – Proposta Técnica Comercial, que detalha os valores e serviços. A Xertica Brasil Ltda. atua como revendedora dos serviços da Google.",Não especificado,12/01/2026,17/01/2027,Rafael Marchetti Marcondes,rafael.marcondes@reidopitaco.com,,Sim,"• Referência aos Acordos de Nível de Serviço (SLA) da Google Cloud Platform.  (Cl. 2.2, p. 3)
• Garantia limitada dos serviços, excluindo problemas causados por acidentes, abuso ou uso inconsistente com o contrato, ou eventos fora do controle razoável da CONTRATADA.  (Cl. VI, 6.2, p. 6)"
36b2f3d0,Público,ARP,,,ADVOCACIA-GERAL DA UNIÃO,DF,,"GWS, Suporte/Treinamento",,,"R$ 27.429.503,30",,N.º 07/2025,21/10/2025,12,TRUE,N/A,NAO ESPECIFICADO,,0,,21/10/2026,,https://drive.google.com/file/d/1FkLawTUhlQyk-8kmfFZzUB8yxj1Oirh0/view?usp=drive_link,,"4702469,28",,,TRUE,"Contratante: ADVOCACIA-GERAL DA UNIÃO
Número do contrato: N.º 07/2025
Objeto do contrato: Acelerador; Suporte/Treinamento
Plataforma/tecnologia envolvida: Solução Google Workspace Enterprise Standard, Solução Google Workspace Enterprise Starter, Google Workspace Frontline Starter, Google AppSheet
Quantitativos: 17.150 licenças e 2.985 horas de serviços técnicos
Valor total: R$ 27.429.503,30
Valor global do contrato: R$ 27.429.503,30
Forma de pagamento: Não especificado
Valor convertido para forma de pagamento: NÃO MENCIONADO
Vigência: 1 (um) ano, contado a partir do primeiro dia útil subsequente à data de divulgação no PNCP
Duração em meses: 12
Data de assinatura: 21/10/2025
Vencimento do Contrato: 20/10/2026
Contrato com renovação: N/A
Contrato com reajuste: N/A
Índice de reajuste: Não especificado
Complemento 25%: Cláusula 5.3 e 6.1.1, que remetem ao Art. 124 da Lei nº 14.133, de 2021.
Local de execução: Brasília/DF
Informações relevantes adicionais: Ata de Registro de Preços (ARP) para eventual contratação. Não será admitida adesão à ata. É vedado efetuar acréscimos nos quantitativos fixados na ata.
Estado: DF
Aceleradores: NÃO MENCIONADOS
Preposto do Contrato: Gustavo Rodrigues de Paula
E-mail do Preposto: licitacoes.brasil@xertica.com

Produtos:
- Produto: Solução Google Workspace Enterprise Standard ,  [por licença/36 meses], (Qtd: 1000, Unidade: LICENÇAS, Valor Unitário: R$ 2.097,84, Valor Total: R$ 2.097.840,00, Obj: GWS)",Suporte Verificado ✓,,,Não especificado,Ata de Registro de Preços (ARP) para eventual contratação. Não será admitida adesão à ata. É vedado efetuar acréscimos nos quantitativos fixados na ata.,Não especificado,18/07/2025,18/7/2026,Gustavo Rodrigues de Paula,licitacoes.brasil@xertica.com,,Sim,"• Direito de atualização e suporte  (Cl. 1.1)
• Serviços técnicos especializados  (Cl. 1.1)
• 2.985 Horas de Serviços Técnicos Especializados  (Cl. 2.1, item 8 da tabela)"
59,Privado,Contrato Privado,Contratos_Images/59.Imagem logo órgão.104021.png,,ALLOY TECNOLOGIA EM SERVICOS DIGITAIS LTDA.,RS,,GCP,Não mencionado,Compromisso (Commit),"R$ 714.000,00",Não será aditivado,Não especificado,09/01/2025,12,FALSE,FALSE,NAO ESPECIFICADO,FALSE,Não se aplica,0,09/01/2026,,Alloy Tecnologia em Serviços Digitais - Contrato Nº ATES-121233-Alloy Tecnologia Em Serviços Digitais LTDA-006Rh00000Il3rKIAR - 09-01-2025,,"$122.406,99","R$ 7.140,00",,TRUE,"Contratante: ALLOY TECNOLOGIA EM SERVICOS DIGITAIS LTDA.
Modalidade: Contrato Privado
Plano GCP: Compromisso (Commit)
Valor total: R$ 714.000,00
Vigência: Vence em: 09/01/2026
Duração em meses: 12
Estado: RS",Suporte Verificado ✓,,https://docs.google.com/document/d/1otX0gN5a2LcqgVmiYHe8JnE4263DEfbgNuLcM2cQfgU/edit?usp=drivesdk,,,,09/01/2025,09/01/2026,Não especificado,Não especificado,,Sim,"• Nível de Serviço do GCP (SLA)  (Cl. 2.2, p. 3)
• Manter pessoal qualificado para a disponibilização dos serviços  (Cl. 2.1, p. 3)
• Suporte Técnico especializado com serviços 24x7 para Google Workspace (MSP)  (Metodologia X-Factor, p. 7)
• Data e IA com serviços 24x7 para Google Cloud (MSP)  (Metodologia X-Factor, p. 7)
• Suporte de infraestrutura de Nuvem 24x7 (MSP)  (Metodologia X-Factor, p. 7)
• Suporte direto com a Xertica (5x8), em Português  (5. Benefícios Xertica, p. 12)
• 12 tickets grátis durante a vigência Contratual de seu Licenciamento  (5. Benefícios Xertica, p. 12)
• Comunicação para suporte por email, telefone e portal WEB  (5. Benefícios Xertica, p. 12)
• Acompanhamento em escalonamentos de suporte com o Google  (5. Benefícios Xertica, p. 12)
• Treinamentos das diferentes aplicações  (5. Benefícios Xertica, p. 12)
• 2 sessões mensais de treinamento para usuário final (Comunicação, Colaboração, Forms, Sheets, Sites)  (5. Benefícios Xertica, p. 12)
• 1 sessão Trimestral de treinamento para equipe de TI (Painel Administrador)  (5. Benefícios Xertica, p. 12)
• 1 Sessão Trimestral de Novidades em GWS para usuários  (5. Benefícios Xertica, p. 12)"
15e4c528,Privado,Contrato Privado,Contratos_Images/15e4c528.Imagem logo órgão.160030.png,,APOSTA GANHA LOTERIAS LTDA,PE,,"GCP, GWS, Acelerador, Suporte/Treinamento",Meet Transcriber,,"R$ 142.842,00",Contrato aditivado,2025- AGLL-122198-APOSTA GANHA LOTERIAS LTDA,28/02/2025,12,N/A,N/A,IPCA,,0,,28/02/2026,,Aposta Ganha Loterias Ltda - Contrato Nº 2025- AGLL-122198-APOSTA GANHA LOTERIAS LTDA - 28-02-2025,,"24488,6",,,TRUE,"Contratante: Aposta Ganha Loterias Ltda
Número do contrato: 2025- AGLL-122198-APOSTA GANHA LOTERIAS LTDA
Objeto do contrato: GCP
Plataforma/tecnologia envolvida: Google Workspace (GWS), Google Cloud Platform (GCP)
Quantitativos: NÃO ESPECIFICADO
Valor total: R$ 142.842,00
Valor global do contrato: R$ 142.842,00
Forma de pagamento: MENSAL
Valor convertido para forma de pagamento: 11903.50
Vigência: De 28/02/2025 a 28/02/2026
Duração em meses: 12
Data de assinatura: 28/02/2025
Vencimento do Contrato: 28/02/2026
Contrato com renovação: N/A
Contrato com reajuste: N/A
Índice de reajuste: IPCA
Complemento 25%: N/A
Local de execução: NÃO ESPECIFICADO
Informações relevantes adicionais: O contrato inclui um Anexo 1 - Proposta Técnica Comercial. A Xertica oferece suporte, treinamentos, sessões de novidades, ""Pergunte ao Expert"" e transcritor de reuniões para Google Meet como benefícios adicionais.
Estado: PE
Aceleradores: Meet Transcriber
Preposto do Contrato: RENÊ SANTOS SILVA (Diretor)
E-mail do Preposto: Não especificado

Produtos: NÃO MENCIONADOS",Suporte Verificado ✓,,https://docs.google.com/document/d/1ZU46fdvm9A3j45eKEtgWQyIxubM1gSMLputXMFev6X8/edit?tab=t.0,MENSAL,"O contrato inclui um Anexo 1 - Proposta Técnica Comercial. A Xertica oferece suporte, treinamentos, sessões de novidades, ""Pergunte ao Expert"" e transcritor de reuniões para Google Meet como benefícios adicionais.",Não especificado,12/03/2026,08/03/2027,RENÊ SANTOS SILVA (Diretor),Não especificado,Efetuando tentativas de contato,Sim,"• Nível de Serviço do GCP (SLA) conforme Termos de Uso da Google.  (Cl. 2.2, p. 4)
• Suporte Técnico especializado com serviços 24x7 para Google Workspace (MSP).  (p. 7)
• Suporte para Data e IA com serviços 24x7 para Google Cloud (MSP).  (p. 7)
• Suporte de infraestrutura de Nuvem 24x7 (MSP).  (p. 7)
• Suporte direto com a Xertica (5x8), em Português.  (Cl. 5, p. 12)
• 12 tickets grátis durante a vigência Contratual de licenciamento.  (Cl. 5, p. 12)
• Comunicação para suporte por email, telefone e portal WEB.  (Cl. 5, p. 12)
• Acompanhamento em escalonamentos de suporte com o Google.  (Cl. 5, p. 12)
• 2 sessões mensais de treinamento para o usuário final (Comunicação, Colaboração, Forms, Sheets, Sites).  (Cl. 5, p. 12)
• 1 sessão Trimestral de treinamento para a equipe de TI (Painel Administrador).  (Cl. 5, p. 12)
• 1 Sessão Trimestral de Novidades em GWS.  (Cl. 5, p. 12)
• 1 Espaço mensal 'Pergunte ao Expert' para responder perguntas pontuais ou dúvidas sobre o uso de funcionalidades da Suíte GWS.  (Cl. 5, p. 12)"
a2b1c18a,SOW,SOW,,,Assertif,Não especificado,https://drive.google.com/drive/folders/1P1HWtCia_UBrsesdWLJhxzhot1u6R4vU,"GCP, Suporte/Treinamento, Outros",,,"R$ 29.150,00",Não será aditivado,Não especificado,20/05/2024,1,N/A,N/A,NAO SE APLICA,,0,,20/06/2024,,Assertif Consultores Associados Ltda - Contrato Nº Não especificado - 20-05-2024,,"4997,43",,,TRUE,"Contratante: Assertif Group 
Número do contrato: Não especificado (SOW referente ao Master Services Agreement de 20 de Abril de 2024) 
Objeto do contrato: Prestação de serviços para implementar uma solução de inteligência de dados usando o Google GenAI para classificação, sumarização e extração de entidades de documentos, ajudando na triagem de casos legais e extração de informações relevantes. 
Plataforma/tecnologia envolvida: Google GenAI, Vertex AI, Document AI, Cloud Storage, Cloud Functions, AutoML. 
Quantitativos: O escopo inclui 1 workshop (máx. 6 horas), 1 processador Document AI, 1 Pipeline VertexAI e 1 Cloud Function. 
Valor total: $5,000.00 USD 
Valor global do contrato: $5,000.00 USD (referente a este SOW) 
Forma de pagamento: Não especificado.

Vigência: 20/05/2024 a 14/06/2024 
Duração em meses: < 1 mês (estimado em 4 semanas) 
Data de assinatura: Data de efetivação: 20/05/2024 

Vencimento do Contrato: 14/06/2024 
Contrato com renovação: Não aplicável
Contrato com reajuste: Não aplicável
Índice de reajuste: Não aplicável
Complemento 25%: Não aplicável
Local de execução: Remoto 
Informações relevantes adicionais: As taxas de uso do Google Cloud não estão incluídas e são de responsabilidade do cliente. O projeto só terá início após a aprovação formal do Google. 
Estado: Não especificado
Aceleradores: Não mencionados
Prepostos/Signatários do Contrato: Claudia Dreger (Assertif Group) e Gustavo de Paula (Xertica Brasil LTDA). 
E-mail de contato: adriano.pansiera@assertif.com.br (Adriano Pansiera) 
Produtos e Serviços:
[Produto/Serviço]: Lead Architect, /Projeto, (Qtd: 8, Unidade: Horas, Valor Unitário: $70.00 USD, Valor Total: $560.00 USD) 
[Produto/Serviço]: UX Analyst, /Projeto, (Qtd: 8, Unidade: Horas, Valor Unitário: $40.00 USD, Valor Total: $320.00 USD) 
[Produto/Serviço]: Full Stack Software Developer, /Projeto, (Qtd: 16, Unidade: Horas, Valor Unitário: $40.00 USD, Valor Total: $640.00 USD) 
[Produto/Serviço]: ML Engineer, /Projeto, (Qtd: 80, Unidade: Horas, Valor Unitário: $43.50 USD, Valor Total: $3,480.00 USD)",Suporte Verificado ✓,,https://docs.google.com/document/d/1S1Bzt07AtRwesoxMw8cU7LYo_2FtLBkX3rsQmaEMWbk/edit?tab=t.0,Não especificado,"Projeto sujeito à aprovação formal do Google via sistema ""Vector"". Datas podem ser alteradas dependendo do acesso aos sistemas, permissões e disponibilidade do cliente. Custos de uso do Google Cloud não inclusos.",Não especificado,20/05/2024,20/06/2024,Gustavo de Paula (Xertica) / Claudia Dreger (Assertif),Não especificado,Atestado enviado,Não,
21c06d1a,Privado,SOW,,,ATACADAO DIA A DIA,DF,,"GCP, Serviços, Suporte/Treinamento",,,"R$ 0,00",Não será aditivado,Não especificado,18/04/2024,1,FALSE,N/A,NAO SE APLICA,,0,,18/05/2024,,ATACADÃO DIA A DIA S.A - Contrato Nº Não especificado - 18-04-2024,,0,,,TRUE,"Contratante: ATACADÃO DIA A DIA S.A
Número do contrato: Não especificado
Objeto do contrato: Acelerador; GCP; Serviço de consultoria
Plataforma/tecnologia envolvida: Google Cloud Platform (GCP), Google GenAI, VertexAI, AutoML, Enterprise Search, Conversation, Looker, BigQuery, BigQuery Data Transfer, Cloud Functions, Cloud Scheduler, Cloud Storage, Sensitive Protection.
Quantitativos: 4 workshops, 4 soluções de IA, Treinamento da equipe técnica.
Valor total: 
Valor global do contrato: 
Forma de pagamento: ÚNICO
Valor convertido para forma de pagamento: NÃO MENCIONADO
Vigência: 4 Semanas após o início do projeto
Duração em meses: 1
Data de assinatura: 18/04/2024
Vencimento do Contrato: 15/12/2023
Contrato com renovação: FALSE
Contrato com reajuste: N/A
Índice de reajuste: Não se aplica
Complemento 25%: N/A
Local de execução: Brasil (Remoto para XERTICA, ambiente GCP para ATACADÃO)
Informações relevantes adicionais: Partner Services Funds (PSF). Looker Core Pay as you Go: USD 5,000.00 / Month (informação de custo adicional, possivelmente recorrente, mas não explicitamente parte do valor total do contrato).
Estado: DF
Aceleradores: NÃO MENCIONADOS
Preposto do Contrato: Gerardo Carvalho (ATACADÃO DIA A DIA S.A) / Gustavo Rodrigues de Paula (XERTICA BRASIL LTDA)
E-mail do Preposto: gerardo.carvalho@atacadaodiaadia.com.br / gustavo.paula@xertica.com

Produtos:
- Não especificado (Apesar de haver descrição das soluções há tabela ou lista com quantidades e valores individuais para cada solução/produto). (Qtd: ., Unidade: NÃO, Obj: Acelerador)",Suporte Verificado ✓,,,ÚNICO,"Partner Services Funds (PSF). Looker Core Pay as you Go: USD 5,000.00 / Month (informação de custo adicional, possivelmente recorrente, mas não explicitamente parte do valor total do contrato).",Não especificado,18/04/2024,18/05/2024,Gerardo Carvalho (ATACADÃO DIA A DIA S.A) / Gustavo Rodrigues de Paula (XERTICA BRASIL LTDA),gerardo.carvalho@atacadaodiaadia.com.br / gustavo.paula@xertica.com,Tem atestado,Sim,"• Exclusão de casos de correção de problemas de aplicativos (falhas de desenvolvimento) dos serviços de suporte.  (Cl. 5, p. 6)
• Solicitação de horas adicionais via Service Desk com no mínimo 7 dias de antecedência.  (Cl. 10, p. 9)
• Envio de relatório detalhado de atividades e horas (dentro e fora do horário comercial) para análise e aprovação.  (Cl. 10, p. 9)
• Aprovação das atividades e horas (dentro e fora do horário comercial) no mês corrente.  (Cl. 10, p. 9)"
8f7d9458,Privado,SOW,,,Badesul,Não especificado,,"GCP, Serviços",,,"R$ 0,00",Não será aditivado,Não especificado,01/08/2025,1,TRUE,N/A,NAO SE APLICA,,0,,01/09/2025,,Badesul - Contrato Nº Não especificado - 01-08-2025,,0,,,TRUE,"Contratante: Badesul
Número do contrato: Não especificado
Objeto do contrato: Acelerador
Plataforma/tecnologia envolvida: Vertex AI
Quantitativos: 10.000 requests/dia (aproximadamente), 1.000 caracteres/request (entrada, aprox.), 500 caracteres/request (saída, aprox.)
Valor total: 
Valor global do contrato: 
Forma de pagamento: Não especificado
Valor convertido para forma de pagamento: NÃO MENCIONADO
Vigência: 01/08/2025 a 4 semanas após a data de início
Duração em meses: Não especificado
Data de assinatura: 01/08/2025
Vencimento do Contrato: 01/08/2025
Contrato com renovação: N/A
Contrato com reajuste: N/A
Índice de reajuste: Não se aplica
Complemento 25%: N/A
Local de execução: Remoto (100%)
Informações relevantes adicionais: Projeto de Prova de Conceito (PoC); Google Cloud mencionado; Envolve kickoff, coleta de requisitos, configuração de ambiente, definição de integrações, upload de arquivos e encerramento com entrega.
Estado: Não especificado
Aceleradores: NÃO MENCIONADOS
Preposto do Contrato: Patricia Regina Rosa (Badesul) e Gustavo de Paula (XERTICA BRASIL LTDA)
E-mail do Preposto: Patricia.Rosa@badesul.com.br e gustavo.paula@xertica.com

Produtos:
- Produto: Cientista de dados , Valor unitário: USD 67/hora, Valor total: USD 1340 (Qtd: 20, Unidade: HORAS, Em Horas, Obj: Acelerador)",Suporte Verificado ✓,,https://docs.google.com/document/d/1R3B9uuifA07WOSu86ZNl2RFI1TjWLQugNlB8UDSENmM/edit?usp=drivesdk,Não especificado,"Projeto de Prova de Conceito (PoC); Google Cloud mencionado; Envolve kickoff, coleta de requisitos, configuração de ambiente, definição de integrações, upload de arquivos e encerramento com entrega.",Não especificado,01/08/2025,,Patricia Regina Rosa (Badesul) e Gustavo de Paula (XERTICA BRASIL LTDA),Patricia.Rosa@badesul.com.br e gustavo.paula@xertica.com,,Não,
08ed7486,SOW,SOW,,,Banco Regional de Brasília,DF,https://drive.google.com/drive/folders/1PD5xh1dE6NN2XwFtAQZ5Dr_kLBC_S2Xh,"GCP, Serviços",,,"R$ 0,00",Não será aditivado,,10/06/2024,1,N/A,N/A,NAO SE APLICA,,0,,10/07/2024,,Banco Regional de Brasília - 10-06-2024,,0,,,TRUE,"Contratante: Banco Regional de Brasília
Número do contrato: Não especificado
Objeto do contrato: Acelerador; Serviço de consultoria
Plataforma/tecnologia envolvida: Google GenAI, Looker, Vertex AI, Cloud Functions, Cloud Scheduler, BigQuery, Speech-to-Text, Cloud Storage.
Quantitativos: 1 conjunto de fontes de informação, 1 Painel do Looker, 1 Cloud Function. Transcrição e resumo de pelo menos dois vídeos.
Valor total: 
Valor global do contrato: 
Forma de pagamento: Não especificado
Valor convertido para forma de pagamento: NÃO MENCIONADO
Vigência: 10/06/2024 a 4 semanas após a data de início
Duração em meses: Não especificado
Data de assinatura: 10/06/2024
Vencimento do Contrato: 10/06/2024
Contrato com renovação: N/A
Contrato com reajuste: N/A
Índice de reajuste: Não se aplica
Complemento 25%: N/A
Local de execução: Remoto (100%)
Informações relevantes adicionais: O projeto só inicia após aprovação formal do Google via e-mail do sistema ""Vector"". Datas e custos sujeitos a alterações dependendo do acesso a sistemas, permissões e disponibilidade do cliente. Custos de uso do Google Cloud não inclusos.
Estado: DF
Aceleradores: NÃO MENCIONADOS
Preposto do Contrato: Paulo Abraão Lopes Nogueira
E-mail do Preposto: gedan@brb.com.br

Produtos:
- Produto: Arquiteto Líder , Valor unitário: USD 70,00 por hora, Valor total: USD 560,00 (Qtd: 8, Unidade: HORAS, Em Horas, Obj: Acelerador)",Suporte Verificado ✓,,https://docs.google.com/document/d/1eBG54JZmclWFtHcRPAiX04CrkNA9jiQ2S3NovcGXw-g/edit?tab=t.0,Não especificado,"O projeto só inicia após aprovação formal do Google via e-mail do sistema ""Vector"". Datas e custos sujeitos a alterações dependendo do acesso a sistemas, permissões e disponibilidade do cliente. Custos de uso do Google Cloud não inclusos.",Não especificado,10/06/2024,10/07/2024,Paulo Abraão Lopes Nogueira,gedan@brb.com.br,Não cabe envio,Não,
d7e40a82,Privado,Contrato Privado,,,Beedoo Edtech,SP,,"GCP, GWS",,,"R$ 45.780,00",Não será aditivado,BEED-122645-Beedoo Edtech-- 006Rh00000Jx5GuIAJ,17/02/2025,12,N/A,N/A,IPCA,,0,,17/02/2026,,BEEDOO LICENCIAMENTO DE SOFTWARE LTDA - Contrato Nº BEED-122645-Beedoo Edtech-- 006Rh00000Jx5GuIAJ - 17-02-2025,,"7848,45",,,TRUE,"Contratante: BEEDOO LICENCIAMENTO DE SOFTWARE LTDA
Número do contrato: BEED-122645-Beedoo Edtech-- 006Rh00000Jx5GuIAJ
Objeto do contrato: GCP
Plataforma/tecnologia envolvida: Google Workspace (GWS), Google Cloud (GCP)
Quantitativos: 59 licenças
Valor total: R$ 45.780,00
Valor global do contrato: R$ 45.780,00
Forma de pagamento: ANUAL
Valor convertido para forma de pagamento: NÃO MENCIONADO
Vigência: De 17/02/2025 a 16/02/2026
Duração em meses: 12
Data de assinatura: 17/02/2025
Vencimento do Contrato: 16/02/2026
Contrato com renovação: N/A
Contrato com reajuste: N/A
Índice de reajuste: IPCA
Complemento 25%: N/A
Local de execução: NÃO ESPECIFICADO
Informações relevantes adicionais: Multa de 2% e juros de 1% ao mês em caso de atraso. Suspensão dos serviços após 15 dias de atraso e rescisão após 30 dias.
Estado: SP
Aceleradores: NÃO MENCIONADOS
Preposto do Contrato: Daniel M. Lima
E-mail do Preposto: Não especificado

Produtos: NÃO MENCIONADOS",Suporte Verificado ✓,,,ANUAL,Multa de 2% e juros de 1% ao mês em caso de atraso. Suspensão dos serviços após 15 dias de atraso e rescisão após 30 dias.,Não especificado,17/02/2025,17/02/2026,Daniel M. Lima,Não especificado,Tem atestado,Sim,"• Manter permanentemente pessoal qualificado para a disponibilização dos serviços efetivamente contratados, dentro dos padrões de qualidade e eficiência da CONTRATADA.  (Cl. 2.1, p. 3)
• Nível de Serviço do GCP (SLA) conforme link: https://cloud.google.com/terms/sla.  (Cl. 2.2, p. 3)
• Suporte Técnico especializado com serviços 24x7 para Google Workspace (MSP).  (METODOLOGIA X-FACTOR, p. 8)
• Data e IA com serviços 24x7 para Google Cloud (MSP).  (METODOLOGIA X-FACTOR, p. 8)
• Suporte de infraestrutura de Nuvem 24x7 (MSP).  (METODOLOGIA X-FACTOR, p. 8)
• Garantia limitada, não cobrindo problemas causados por acidentes, abuso, uso inconsistente ou eventos fora do controle razoável da CONTRATADA, nem problemas por não observância dos requisitos mínimos do sistema, ou serviços gratuitos/de avaliação.  (Cl. 6.2, p. 6)"
c084fe3b,Privado,SOW,,,BNB - Banco do nordeste do Brasil,CE,,"GCP, Serviços",,,"R$ 0,00",Não será aditivado,Não especificado,14/10/2024,1,N/A,N/A,NAO SE APLICA,,0,,14/11/2024,,Banco do Nordeste - Contrato Nº Não especificado - 13-10-2024,,0,,,TRUE,"Contratante: Banco do Nordeste
Número do contrato: Não especificado
Objeto do contrato: Acelerador; Serviço de consultoria
Plataforma/tecnologia envolvida: Google Dialogflow, Enterprise Search, Gemini, Vertex AI, BigQuery, Google Sites, Cloud Storage.
Quantitativos: 420 horas (total de horas de equipe)
Valor total: 
Valor global do contrato: 
Forma de pagamento: Não especificado
Valor convertido para forma de pagamento: NÃO MENCIONADO
Vigência: Sep 23, 2024 a aproximadamente Out 14, 2024 (3 semanas após início)
Duração em meses: Não especificado
Data de assinatura: 
Vencimento do Contrato: 14/10/2024
Contrato com renovação: N/A
Contrato com reajuste: N/A
Índice de reajuste: Não se aplica
Complemento 25%: N/A
Local de execução: Remoto
Informações relevantes adicionais: O Google financia parte do projeto ($9.664,82) e a Xertica investe $14.698,82, enquanto o Banco do Nordeste investe $0,00. Há um processo de solicitação de mudança com aprovação necessária.
Estado: CE
Aceleradores: NÃO MENCIONADOS
Preposto do Contrato: Raquel Ximenes (BNB) e Gustavo de Paula (XERTICA BRASIL LTDA.)
E-mail do Preposto: raquelxf@bnb.gov.br

Produtos: NÃO MENCIONADOS",Suporte Verificado ✓,,,Não especificado,"O Google financia parte do projeto ($9.664,82) e a Xertica investe $14.698,82, enquanto o Banco do Nordeste investe $0,00. Há um processo de solicitação de mudança com aprovação necessária.",Não especificado,14/10/2024,14/11/2024,Raquel Ximenes (BNB) e Gustavo de Paula (XERTICA BRASIL LTDA.),raquelxf@bnb.gov.br,Não cabe envio,Não,
